,mean,standard_deviation
metasense_CO2_mean,678.1488930403312,762.9768440315507
metasense_CO2_var,24120.286908786387,168459.3146714535
metasense_S1A_mean,323.9975415694708,29.90433243655759
metasense_S1A_var,62.57426235752213,308.89155425014326
metasense_S1W_mean,278.3000449855967,10.435298279178776
metasense_S1W_var,3.0176865241215687,2.990696913956151
metasense_S2A_mean,427.3528606739626,25.636714472220373
metasense_S2A_var,53.84132009852173,141.45005669712157
metasense_S2W_mean,426.8141165371655,3.346822207982052
metasense_S2W_var,0.2911266071214711,0.2762386071777205
metasense_S3A_mean,852.9498445188686,519.1778250382101
metasense_S3A_var,13282.881354129386,138063.97776244793
metasense_S3W_mean,276.89867924665094,47.500430482663724
metasense_S3W_var,11.525586530829694,52.31170629831694
metasense_humidity_mean,-1.6875526744424667,6.863475892043054
metasense_humidity_var,0.2559888157970509,1.8413519988713603
metasense_pressure_mean,-0.024525275762740998,0.05014011117876832
metasense_pressure_var,0.004738928325240746,0.005066248169278426
metasense_temperature_mean,6.471020262625737,3.3432792427680007
metasense_temperature_var,0.001678055663566685,0.0024372958447054956
